"Estimate","Low","High","year"
146683,42587,505222,1969
263499,97940,708920,1970
110159,39814,304790,1971
169248,63731,449463,1972
245334,92031,654008,1973
378385,140312,1020406,1974
539011,199610,1455501,1975
285310,104994,775296,1976
114749,41406,318007,1977
147912,53195,411277,1978
200702,72605,554798,1979
65414,22847,187288,1980
215432,79122,586575,1981
431716,163378,1140782,1982
974763,378134,2512769,1983
119310,44114,322682,1984
386261,140524,1061720,1985
182563,68216,488583,1986
157658,59499,417757,1987
528292,195092,1430567,1988
515835,192141,1384845,1989
230570,87123,610200,1990
285108,108593,748540,1991
226186,85915,595474,1992
59164,21141,165575,1993
190160,70485,513029,1994
203279,73822,559760,1995
182644,64955,513568,1996
233170,82548,658625,1997
108407,37644,312195,1998
123908,43593,352192,1999
393782,155971,994188,2000
97525,36634,259629,2001
105527,39807,279749,2002
254558,101406,639012,2003
404848,165875,988102,2004
181911,73434,450632,2005
322498,131572,790481,2006
88897,34336,230158,2007
184926,76273,448358,2008
188133,78091,453239,2009
47629,17259,131442,2010
116291,46411,291390,2011
68395,26076,179393,2012
53495,19122,149653,2013
71764,26046,197728,2014
95754,34948,262359,2015
172156,63269,468442,2016
38445,13257,111489,2017
69146,25037,190964,2018
29827,10170,87471,2019
40727,13907,119272,2020
51982,15889,170063,2021
39919,7901,201685,2022
