"Estimate","Low","High","year"
353083,160440,777039,1969
322751,164345,633841,1970
281476,161213,491453,1971
231928,147029,365851,1972
176609,118360,263525,1973
165989,110132,250176,1974
174488,106190,286714,1975
233876,136138,401783,1976
266873,154088,462210,1977
241266,132530,439219,1978
199137,112215,353387,1979
170258,93728,309277,1980
134852,74806,243098,1981
129396,75223,222584,1982
181399,107968,304771,1983
342663,205597,571106,1984
456596,262569,794000,1985
432604,257715,726176,1986
383469,236527,621699,1987
340209,215637,536746,1988
363117,233215,565375,1989
376839,234224,606291,1990
330619,207331,527220,1991
285458,187871,433734,1992
229545,154545,340940,1993
176877,115647,270525,1994
139194,84176,230172,1995
123604,64736,236005,1996
108180,52634,222345,1997
95534,45267,201622,1998
76309,35145,165688,1999
67777,34531,133029,2000
96844,50628,185250,2001
141778,78703,255406,2002
146988,92395,233838,2003
141884,109642,183607,2004
142286,110257,183620,2005
118910,91858,153929,2006
113190,85160,150445,2007
87961,56866,136058,2008
75669,60352,94873,2009
59021,45481,76590,2010
30485,16296,57029,2011
27235,13804,53732,2012
30077,15481,58435,2013
29791,15456,57422,2014
27691,14519,52811,2015
29146,15177,55974,2016
41847,21678,80783,2017
44378,22707,86733,2018
33371,18207,61167,2019
23945,13509,42442,2020
16880,8749,32567,2021
17649,6977,44644,2022
