"","ssb0","ssb","rec","f","catch","exploit","age","LRP","ratio"
"1969",406549.01,353083.47,146683.48,0.14,31701.81,7.8,3,42449.67,8.32
"1970",371623.92,322751.4,263498.58,0.14,32189.79,8.66,3.18,42449.67,7.6
"1971",324097.98,281475.63,110158.95,0.15,34625.65,10.68,3.73,42449.67,6.63
"1972",267047.81,231928.17,169248.25,0.17,34392.06,12.88,3.97,42449.67,5.46
"1973",203352.47,176609.45,245333.8,0.31,43894.62,21.59,3.22,42449.67,4.16
"1974",191123.99,165989.14,378385.38,0.44,50601.45,26.48,2.65,42449.67,3.91
"1975",200909.66,174487.89,539011.04,0.39,41949.24,20.88,2.17,42449.67,4.11
"1976",269290.66,233876.06,285309.75,0.31,38303.4,14.22,2.39,42449.67,5.51
"1977",307283.6,266872.52,114748.65,0.23,34193.1,11.13,2.95,42449.67,6.29
"1978",277800.05,241266.37,147912.23,0.23,36590.66,13.17,3.39,42449.67,5.68
"1979",229290.75,199136.56,200701.99,0.25,35543.12,15.5,3.32,42449.67,4.69
"1980",196039.41,170258.14,65413.71,0.28,34142.38,17.42,3.75,42449.67,4.01
"1981",155272.15,134852.21,215431.98,0.31,31149.4,20.06,3.06,42449.67,3.18
"1982",148990.07,129396.28,431715.67,0.32,27924.5,18.74,2.2,42449.67,3.05
"1983",208866.91,181398.68,974763.41,0.26,24139.3,11.56,1.67,42449.67,4.27
"1984",394550.4,342662.81,119310.02,0.2,35421.98,8.98,2.39,42449.67,8.07
"1985",525735.83,456595.95,386260.7,0.2,47056.75,8.95,2.72,42449.67,10.76
"1986",498110.96,432604.04,182562.55,0.19,48786.19,9.79,3.28,42449.67,10.19
"1987",441535.26,383468.65,157658.18,0.18,52156.48,11.81,3.86,42449.67,9.03
"1988",391725,340208.98,528291.82,0.17,46436.89,11.85,3.35,42449.67,8.01
"1989",418101.74,363116.89,515835.26,0.16,45208.36,10.81,3.14,42449.67,8.55
"1990",433901.83,376839.1,230569.82,0.19,49993.6,11.52,3.53,42449.67,8.88
"1991",380682.62,330618.79,285107.71,0.22,50893.06,13.37,3.47,42449.67,7.79
"1992",328682.89,285457.58,226185.89,0.26,49997.32,15.21,3.51,42449.67,6.72
"1993",264303.29,229544.58,59164.03,0.29,47973.45,18.15,3.97,42449.67,5.41
"1994",203660.28,176876.78,190160.18,0.38,46999.35,23.08,3.5,42449.67,4.17
"1995",160270.88,139193.55,203279.28,0.4,38904.89,24.27,3.06,42449.67,3.28
"1996",142320.96,123604.23,182644.05,0.59,46372.65,32.58,2.86,42449.67,2.91
"1997",124561.32,108180.17,233169.58,0.81,47836.3,38.4,2.39,42449.67,2.55
"1998",110000.68,95534.42,108407.4,0.99,41021.79,37.29,2.46,42449.67,2.25
"1999",87864.55,76309.42,123908.32,1.24,41035.99,46.7,2.37,42449.67,1.8
"2000",78039.67,67776.62,393781.94,1.32,34548.87,44.27,1.58,42449.67,1.6
"2001",111509.05,96844.42,97525.33,0.99,35294.02,31.65,2.03,42449.67,2.28
"2002",163247.22,141778.47,105526.67,0.79,50818.66,31.13,2.59,42449.67,3.34
"2003",169245.11,146987.57,254557.69,0.76,63916.52,37.77,2.6,42449.67,3.46
"2004",163368.78,141884.04,404847.86,0.87,73051.71,44.72,2.23,42449.67,3.34
"2005",163831.69,142286.07,181911.26,1.05,71043.66,43.36,2.42,42449.67,3.35
"2006",136916.04,118910.11,322497.76,1.15,72657.95,53.07,2.17,42449.67,2.8
"2007",130329.62,113189.89,88896.85,1.11,65473.95,50.24,2.56,42449.67,2.67
"2008",101279.99,87960.59,184925.8,1.05,50691.14,50.05,2.37,42449.67,2.07
"2009",87127.01,75668.88,188133.07,1.45,52515.99,60.28,2.19,42449.67,1.78
"2010",67957.69,59020.52,47629.07,2.03,46343.73,68.19,2.45,42449.67,1.39
"2011",35101.61,30485.38,116290.96,2.16,23127.03,65.89,1.83,42449.67,0.72
"2012",31358.51,27234.53,68394.96,1.58,15912.37,50.74,1.81,42449.67,0.64
"2013",34631.86,30077.4,53494.85,1.25,14438.19,41.69,2.02,42449.67,0.71
"2014",34302.55,29791.4,71764.34,1.05,14666.2,42.76,2.03,42449.67,0.7
"2015",31883.82,27690.76,95754.25,1.05,13254.06,41.57,1.85,42449.67,0.65
"2016",33559.6,29146.16,172155.8,1.03,14496.8,43.2,1.62,42449.67,0.69
"2017",48183.83,41847.14,38444.94,1.03,16254.59,33.73,2.17,42449.67,0.99
"2018",51098.17,44378.21,69146.36,0.93,17170.65,33.6,2.37,42449.67,1.05
"2019",38424.72,33371.46,29826.51,0.95,14510.28,37.76,2.64,42449.67,0.79
"2020",27570.84,23944.98,40726.63,0.93,11412.02,41.39,2.52,42449.67,0.56
"2021",19436.13,16880.07,51982.29,0.78,6742.04,34.69,2.07,42449.67,0.4
"2022",20321.11,17648.67,39919.26,0.42,3302.33,16.25,2.05,42449.67,0.42
