"Estimate","Low","High","year"
500081,225640,1108319,1969
431493,223477,833132,1970
360849,209160,622547,1971
294051,188910,457710,1972
245637,164752,366233,1973
252341,164733,386538,1974
291950,174508,488431,1975
345802,200741,595689,1976
346160,200772,596829,1977
305028,169359,549380,1978
259602,147879,455732,1979
212342,117695,383104,1980
189086,106969,334243,1981
218927,127153,376939,1982
368101,212933,636342,1983
504848,298826,852911,1984
594701,349188,1012831,1985
543355,328077,899893,1986
466687,291018,748396,1987
448610,286969,701298,1988
480430,308474,748240,1989
472171,294847,756138,1990
417245,263946,659580,1991
361904,239810,546157,1992
282851,190630,419685,1993
226710,148017,347241,1994
189113,113319,315601,1995
170345,89642,323702,1996
154996,76124,315587,1997
132847,63644,277296,1998
104949,49518,222429,1999
115762,59338,225837,2000
133673,70548,253282,2001
177120,100033,313609,2002
195287,126379,301767,2003
214804,163617,282004,2004
203636,155996,265825,2005
184050,143102,236715,2006
155055,115617,207946,2007
127444,86442,187894,2008
115440,91801,145167,2009
78870,59500,104547,2010
47164,25829,86123,2011
39740,20632,76545,2012
41394,21725,78871,2013
43460,23103,81755,2014
46166,24633,86521,2015
61051,31968,116594,2016
70217,36302,135816,2017
64294,34489,119856,2018
48492,27056,86911,2019
35024,20101,61027,2020
28494,14579,55690,2021
27903,11105,70111,2022
