"MP","rec","TAC2023","TAC2024","TAC2025","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2024","LRP2025","ssblrp2024","ssblrp2025","file","grow"
1,"BH",0,0,0,0,0,489,2682,28,38,0.67,0.79,"projBH.MP1",78
1,"MEAN",0,0,0,0,0,489,2682,29,39,0.68,0.82,"projM.MP1",84
