"Estimate","Low","High","year"
406549,184734,894702,1969
371624,189231,729820,1970
324098,185624,565871,1971
267048,169293,421250,1972
203352,136283,303430,1973
191124,126809,288058,1974
200910,122269,330129,1975
269291,156753,462622,1976
307284,177420,532200,1977
277800,152598,505727,1978
229291,129207,406899,1979
196039,107921,356109,1980
155272,86133,279910,1981
148990,86613,256289,1982
208867,124317,350921,1983
394550,236730,657585,1984
525736,302328,914231,1985
498111,296739,836137,1986
441535,272342,715839,1987
391725,248290,618022,1988
418102,268529,650987,1989
433902,269691,698098,1990
380683,238726,607054,1991
328683,216319,499412,1992
264303,177947,392567,1993
203660,133159,311489,1994
160271,96922,265025,1995
142321,74539,271742,1996
124561,60604,256014,1997
110001,52121,232153,1998
87865,40467,190778,1999
78040,39760,153173,2000
111509,58294,213301,2001
163247,90620,294081,2002
169245,106385,269246,2003
163369,126245,211410,2004
163832,126952,211425,2005
136916,105768,177237,2006
130330,98056,173226,2007
101280,65477,156661,2008
87127,69491,109240,2009
67958,52368,88188,2010
35102,18764,65665,2011
31359,15894,61869,2012
34632,17826,67283,2013
34303,17797,66117,2014
31884,16718,60808,2015
33560,17475,64450,2016
48184,24960,93015,2017
51098,26145,99867,2018
38425,20964,70429,2019
27571,15555,48869,2020
19436,10074,37498,2021
20321,8033,51404,2022
