year,age,caan,caaw,waa,waa.sd,laa,laa.sd,zero,waa.interpol,note
1975,9,825,NA,NA,NA,NA,NA,NA,0.645104219,old
1975,10,581,NA,NA,NA,NA,NA,NA,0.673036736,old
1976,1,5079.501292,899.4741358,0.177079222,0.042600944,258.4160895,18.1327355,FALSE,0.177079222,new
1976,2,37834.51507,11125.51544,0.294057302,0.041738156,300.8534343,14.35035525,FALSE,0.294057302,new
1976,3,28806.25029,10302.88791,0.357661542,0.04491333,317.0961752,12.3281745,FALSE,0.357661542,new
1976,4,6418.632586,2940.555918,0.458128095,0.055849739,341.3735594,12.8717496,FALSE,0.458128095,new
1976,5,4401.106621,2195.041494,0.498747629,0.062347347,350.5642619,13.69265561,FALSE,0.498747629,new
1976,6,2358.579161,1339.174461,0.567788643,0.074260942,365.1985516,14.66751388,FALSE,0.567788643,new
1976,7,2919.038806,1727.928668,0.591951249,0.067167909,370.2336419,12.40402643,FALSE,0.591951249,new
1976,8,2007.850813,1241.301903,0.61822417,0.074445215,374.9160209,13.11614186,FALSE,0.61822417,new
1976,9,1341.21266,865.2219451,0.645104219,0.079700527,380.0261978,13.94001354,FALSE,0.645104219,new
1976,10,635.763575,427.8922411,0.673036736,0.087941743,385.2225316,15.03316951,FALSE,0.673036736,new
1977,1,4738.161802,581.6608719,0.122760871,0.038143701,228.1452731,17.27263259,FALSE,0.122760871,new
1977,2,14741.38478,4372.123012,0.296588352,0.040655342,298.8390641,12.46221994,FALSE,0.296588352,new
1977,3,29710.35451,11231.07514,0.378018887,0.043345058,321.4015826,10.93190287,FALSE,0.378018887,new
1977,4,8830.522816,3844.134699,0.435323568,0.045430124,334.7316606,10.01240138,FALSE,0.435323568,new
1977,5,1637.201014,835.069918,0.510059492,0.062091581,350.2122578,12.26812678,FALSE,0.510059492,new
1977,6,912.6586195,511.3784948,0.560317389,0.076285243,360.203064,14.52241497,FALSE,0.560317389,new
1977,7,615.5577662,386.7904494,0.628357679,0.058838498,373.3889,10.51252782,FALSE,0.628357679,new
1977,8,656.2506794,430.058813,0.655327037,0.081059678,378.001398,14.03151572,FALSE,0.655327037,new
1977,9,402.4258623,268.9847905,0.66840831,0.108506639,380.8155052,17.81778396,FALSE,0.66840831,new
1977,10,416.0373366,303.7213984,0.730033994,0.097147386,391.1966704,15.41099062,FALSE,0.730033994,new
1978,1,78.14057694,14.34150639,0.183534688,0.024030929,255.336264,14.53731169,FALSE,0.183534688,new
1978,2,2800.562832,866.5309431,0.309413141,0.038626396,304.4072658,12.12594848,FALSE,0.309413141,new
1978,3,12088.15035,4955.92562,0.409982129,0.052131524,332.2721885,13.19893972,FALSE,0.409982129,new
1978,4,25956.17957,11771.50575,0.453514575,0.038389528,343.0888307,9.036761199,FALSE,0.453514575,new
1978,5,10683.10382,5209.04878,0.487596944,0.045232282,350.6653234,10.294424,FALSE,0.487596944,new
1978,6,2357.448766,1273.118027,0.540040592,0.048789511,362.2343628,10.3485376,FALSE,0.540040592,new
1978,7,1152.7101,683.3529567,0.592822911,0.055244824,372.7994965,11.61943327,FALSE,0.592822911,new
1978,8,545.3658614,344.9840243,0.63257356,0.058753109,381.2524264,11.91117545,FALSE,0.63257356,new
1978,9,685.4287523,472.7642562,0.689735081,0.08451733,392.0468399,15.41186754,FALSE,0.689735081,new
1978,10,448.4948116,307.4259258,0.685461499,0.081939498,391.8189728,15.98542197,FALSE,0.685461499,new
1979,1,6741.707795,1105.760573,0.164017873,0.025291688,252.6350599,11.38423792,FALSE,0.164017873,new
1979,2,11350.48709,2792.767752,0.246048273,0.043854103,285.3330885,14.8442603,FALSE,0.246048273,new
1979,3,1891.770797,785.6532268,0.415300431,0.081886171,331.7187879,21.09853151,FALSE,0.415300431,new
1979,4,7476.311098,3791.687125,0.507160159,0.041313237,353.6205926,9.245767281,FALSE,0.507160159,new
1979,5,18990.11764,10086.81466,0.531161252,0.040952548,358.5197834,8.512444661,FALSE,0.531161252,new
1979,6,11867.36647,6690.151269,0.563743547,0.049473965,364.922612,9.725934885,FALSE,0.563743547,new
1979,7,4833.92775,2824.717579,0.584352461,0.053470781,368.9201157,9.976746276,FALSE,0.584352461,new
1979,8,1588.915749,1038.534876,0.653612299,0.071981342,381.2566247,13.2995034,FALSE,0.653612299,new
1979,9,1095.995135,740.8509391,0.675961886,0.084242044,385.051541,15.06158224,FALSE,0.675961886,new
1979,10,1042.804294,755.0483164,0.724055627,0.075912987,393.8119071,12.63810479,FALSE,0.724055627,new
1980,1,54.79819927,11.06545489,0.201930995,0.007456319,255.2487973,2.745834759,FALSE,0.201930995,new
1980,2,5643.863451,2312.837654,0.409796884,0.046696428,323.3298816,12.78477384,FALSE,0.409796884,new
1980,3,6817.995111,3009.667116,0.441429932,0.04283684,331.3272358,11.30706076,FALSE,0.441429932,new
1980,4,2593.463622,1354.314096,0.52220285,0.069539504,350.2357959,15.47635331,FALSE,0.52220285,new
1980,5,5095.80509,3029.490857,0.594506816,0.057498959,365.9929729,12.12311943,FALSE,0.594506816,new
1980,6,10050.626,6150.831134,0.611984879,0.054734997,369.5589489,11.13550556,FALSE,0.611984879,new
1980,7,5681.028013,3615.689103,0.636449793,0.055092687,374.4427784,10.87939774,FALSE,0.636449793,new
1980,8,1925.068438,1308.188616,0.679554342,0.056790278,382.454601,10.93080303,FALSE,0.679554342,new
1980,9,1120.495873,804.2664697,0.717777271,0.072760591,389.4953486,12.93371465,FALSE,0.717777271,new
1980,10,949.1699572,699.606953,0.737072373,0.066292033,392.4648322,11.21542517,FALSE,0.737072373,new
1981,1,9476.717491,1730.436752,0.182598748,0.024010832,255.4661726,11.92272138,FALSE,0.182598748,new
1981,2,1758.223733,745.404297,0.42395304,0.049152153,331.367878,11.60550317,FALSE,0.42395304,new
1981,3,7835.354099,4301.164311,0.548943195,0.060528668,358.9061269,12.2496107,FALSE,0.548943195,new
1981,4,3988.070343,2270.531353,0.569330819,0.059659528,362.9122101,12.24038115,FALSE,0.569330819,new
1981,5,2552.74039,1639.317532,0.642179494,0.045618108,377.3853106,8.369845863,FALSE,0.642179494,new
1981,6,4571.194865,3038.806923,0.664773,0.054570396,381.7934201,9.571999572,FALSE,0.664773,new
1981,7,4982.618684,3396.171771,0.681603788,0.061629759,384.6288336,10.66980696,FALSE,0.681603788,new
1981,8,2053.560274,1457.160407,0.709577618,0.065017795,389.4462679,10.95828546,FALSE,0.709577618,new
1981,9,664.3555517,501.2141309,0.754436581,0.075694082,397.2662294,12.24289157,FALSE,0.754436581,new
1981,10,344.2375756,274.7797594,0.798227093,0.088673669,404.2196078,13.84400432,FALSE,0.798227093,new
1982,1,13993.57592,1531.534958,0.109445575,0.058642197,218.6482039,35.15309149,FALSE,0.109445575,new
1982,2,4497.809512,1749.109911,0.388880389,0.055679382,325.1771553,13.72143116,FALSE,0.388880389,new
1982,3,1632.539469,922.3733066,0.56499296,0.079483235,362.4794963,15.45630176,FALSE,0.56499296,new
1982,4,4177.067081,2673.295448,0.63999342,0.067457534,376.2248021,11.80388236,FALSE,0.63999342,new
1982,5,597.810184,423.440158,0.708318743,0.071889314,387.5317304,11.34807814,FALSE,0.708318743,new
1982,6,2335.089801,1746.196233,0.747806886,0.084659656,393.6087475,12.47013636,FALSE,0.747806886,new
1982,7,3065.017322,2265.798082,0.739244788,0.068502486,392.4404407,10.517964,FALSE,0.739244788,new
1982,8,4116.002421,3108.131471,0.755133538,0.077343971,394.7989817,11.64353033,FALSE,0.755133538,new
1982,9,1068.156366,808.8370527,0.757227199,0.067294031,395.2364492,10.10342821,FALSE,0.757227199,new
1982,10,1345.866106,1154.313815,0.85767359,0.133471394,409.1487561,17.75792065,FALSE,0.85767359,new
1983,1,78917.59019,10467.93806,0.132643914,0.046847879,232.3016494,22.57138048,FALSE,0.132643914,new
1983,2,17820.83001,5316.588108,0.298335605,0.084270047,296.989117,28.50937892,FALSE,0.298335605,new
1983,3,7124.267921,2557.349472,0.358963124,0.083822371,315.5878192,20.93388654,FALSE,0.358963124,new
1983,4,558.3043575,267.4653984,0.479067367,0.131843836,343.513122,27.67222774,FALSE,0.479067367,new
1983,5,650.284795,411.5353309,0.632853996,0.117260037,375.0371234,23.52312377,FALSE,0.632853996,new
1983,6,73.93310718,50.20455818,0.679053811,0.088396012,384.5169874,17.05128054,FALSE,0.679053811,new
1983,7,59.97624386,46.05694992,0.767919879,0.085716851,399.4651134,14.40750005,FALSE,0.767919879,new
1983,8,197.5981803,148.2010055,0.750011996,0.059063407,397.0730647,9.66385057,FALSE,0.750011996,new
1983,9,448.0270019,341.4319446,0.762078944,0.071139754,398.73847,12.12187881,FALSE,0.762078944,new
1983,10,256.1418059,199.3561007,0.778303643,0.089867203,401.1664779,15.92466071,FALSE,0.778303643,new
1984,1,41.91756108,9.223697344,0.22004375,0.020783046,272.3622563,8.152819687,FALSE,0.22004375,new
1984,2,26081.08943,7855.58242,0.301198401,0.044553885,299.8594816,13.50678897,FALSE,0.301198401,new
1984,3,14354.12832,6225.205972,0.433687496,0.060142654,335.6092571,14.3148667,FALSE,0.433687496,new
1984,4,1189.929607,611.1142171,0.513571739,0.104361477,353.4029984,22.92304387,FALSE,0.513571739,new
1984,5,278.7624767,193.7216319,0.69493439,0.088895084,389.3321958,15.5340845,FALSE,0.69493439,new
1984,6,628.068835,455.2975431,0.72491663,0.075446709,394.7518742,12.70484769,FALSE,0.72491663,new
1984,7,136.1325628,99.41289303,0.730265345,0.06103155,396.7278673,10.5361178,FALSE,0.730265345,new
1984,8,180.0050963,147.3029731,0.818326682,0.096202169,411.6221355,14.42030495,FALSE,0.818326682,new
1984,9,707.5489359,557.3364509,0.787700218,0.081498959,405.5356321,12.66001914,FALSE,0.787700218,new
1984,10,2525.681794,2078.385121,0.822900623,0.0998645,410.6555543,13.83033249,FALSE,0.822900623,new
1985,1,24874.21537,3551.860271,0.142792857,0.030012484,242.4746063,14.47198452,FALSE,0.142792857,new
1985,2,1025.943143,354.9657604,0.3459897,0.06000726,315.2418737,18.76625998,FALSE,0.3459897,new
1985,3,52656.32002,18983.9032,0.360524685,0.04698099,319.5530437,12.31354158,FALSE,0.360524685,new
1985,4,10198.52989,4711.525648,0.461980864,0.084833242,344.7704794,20.09149403,FALSE,0.461980864,new
1985,5,718.8368952,419.1094988,0.58303838,0.088509838,371.0532976,18.85539478,FALSE,0.58303838,new
1985,6,231.6527489,163.7027578,0.706673064,0.197689087,389.4576946,36.81336533,FALSE,0.706673064,new
1985,7,885.0982942,638.2091568,0.721060204,0.090562866,395.5863938,15.51682693,FALSE,0.721060204,new
1985,8,197.3852384,141.5659352,0.717206293,0.073918931,393.1237319,11.57712868,FALSE,0.717206293,new
1985,9,134.2357981,105.9388267,0.789199515,0.096866744,407.0688236,13.91701319,FALSE,0.789199515,new
1985,10,2120.976562,1835.16505,0.865245323,0.118179147,418.1302339,16.05396403,FALSE,0.865245323,new
1986,1,2405.214277,378.8341872,0.157505379,0.019156211,252.4261359,9.296728239,FALSE,0.157505379,new
1986,2,15673.76911,4511.373137,0.287829501,0.031924374,302.077986,9.853834125,FALSE,0.287829501,new
1986,3,5864.484911,2365.299456,0.403326037,0.055038993,333.5723267,13.69081941,FALSE,0.403326037,new
1986,4,45164.67228,18713.87531,0.414347639,0.054369265,336.1423088,12.84649249,FALSE,0.414347639,new
1986,5,7577.800496,3742.996945,0.493942398,0.084947367,353.3241891,17.82625026,FALSE,0.493942398,new
