2008,160.26,53.57,133.43,37.27,47.74,4.49,0.94,0.35,3.04,0.05,441.14,,36,12,30,8,11,1,0,0,1,0
2009,156.42,115.23,25.13,77.44,15.49,19.08,1.01,0.19,0.06,1.18,411.23,,38,28,6,19,4,5,0,0,0,0
2010,45.97,110.09,58.44,7.68,26.47,3.27,4.31,0.18,0.02,0.3,256.73,,18,43,23,3,10,1,2,0,0,0
2011,97.88,22.75,46.87,13.16,1.35,3.84,0.44,0.41,0.02,0.04,186.76,,52,12,25,7,1,2,0,0,0,0
2012,65.48,69.26,9.81,13.57,1.96,0.14,0.37,0.06,0.03,0.01,160.69,,41,43,6,8,1,0,0,0,0,0
2013,49.29,48.67,41.09,2.87,3.37,0.28,0.02,0.02,0.01,0.01,145.63,,34,33,28,2,2,0,0,0,0,0
2014,59.25,32.37,31.94,16.81,0.99,0.51,0.02,0.01,0.01,0,141.91,,42,23,23,12,1,0,0,0,0,0
2015,82.84,40.23,17.33,15.75,4.4,0.41,0.07,0.01,0,0,161.04,,51,25,11,10,3,0,0,0,0,0
2016,164.39,60.02,20.37,7.33,6.13,1.38,0.11,0.01,0,0,259.74,,63,23,8,3,2,1,0,0,0,0
2017,25.25,162.8,42.91,8.3,2.41,2.1,0.36,0.01,0,0,244.14,,10,67,18,3,1,1,0,0,0,0
2018,61.38,17.12,107.35,20.8,2.91,0.5,0.69,0.03,0,0,210.78,,29,8,51,10,1,0,0,0,0,0
