"Estimate","Low","High","year","logEstimate","logLow","logHigh","logsd","RR","logRR","ratio","prob"
0.133585535519741,0.0331367339856338,0.538529093055239,1969,-2.0130132908087,-3.40711282387307,-0.618913757744328,0.697049766532185,0.59,-0.527632742082372,0.23,1.65464919740285
0.136864853999165,0.0492125861780311,0.380634096173043,1970,-1.98876130719234,-3.01160587157272,-0.965916742811954,0.511422282190191,0.59,-0.527632742082372,0.23,0.213839367366031
0.149114460773775,0.0890564364758665,0.249674513058686,1971,-1.9030410748334,-2.41848499251131,-1.38759715715549,0.257721958838955,0.59,-0.527632742082372,0.25,4.73028880509929e-06
0.178177277987762,0.11487611136786,0.276359828106181,1972,-1.72497628056151,-2.16390102376889,-1.28605153735414,0.219462371603688,0.59,-0.527632742082372,0.3,2.43759643581143e-06
0.329767709730751,0.217700703072633,0.499524075238208,1973,-1.10936678228933,-1.5246340811987,-0.694099483379956,0.207633649454686,0.59,-0.527632742082372,0.56,0.254144636725884
0.480039039069777,0.315243694075264,0.730982041391818,1974,-0.733887846992051,-1.15440930727051,-0.313366386713593,0.210260730139229,0.59,-0.527632742082372,0.81,16.3308885125991
0.423224526363734,0.249142595176773,0.718941695171466,1975,-0.859852445571661,-1.38972987503845,-0.329975016104869,0.264938714733396,0.59,-0.527632742082372,0.72,10.4930225560595
0.317506762434879,0.152599312876855,0.660622530281188,1976,-1.14725616186872,-1.87993966291482,-0.414572660822616,0.366341750523051,0.59,-0.527632742082372,0.54,4.5382044096778
0.224742928348625,0.131886808254842,0.382975253636566,1977,-1.49279807064767,-2.02581123749144,-0.959784903803901,0.266506583421885,0.59,-0.527632742082372,0.38,0.0146424969978409
0.234536924126763,0.107797880202881,0.510284327255006,1978,-1.45014224452842,-2.22749728486681,-0.672787204190039,0.388677520169193,0.59,-0.527632742082372,0.4,0.881121495985704
0.28223152192019,0.157964009250761,0.504258105015166,1979,-1.26502754516296,-1.8453880614553,-0.684667028870613,0.290180258146172,0.59,-0.527632742082372,0.48,0.552424889047753
0.336105687701954,0.163291081807246,0.691813858144153,1980,-1.09032962174638,-1.81222089282253,-0.368438350670234,0.360945635538073,0.59,-0.527632742082372,0.57,5.95038840564707
0.384158566196929,0.162737018187766,0.9068483964245,1981,-0.956699878823195,-1.81561976643423,-0.0977799912121575,0.429459943805519,0.59,-0.527632742082372,0.65,15.8876674530316
0.410479546068099,0.147531110284124,1.14208764114754,1982,-0.890429178205357,-1.91371620826166,0.13285785185095,0.511643515028153,0.59,-0.527632742082372,0.7,23.9137263587466
0.307704631907592,0.128760792597151,0.735333625924583,1983,-1.1786149434441,-2.0497989169542,-0.307430969934001,0.435591986755051,0.59,-0.527632742082372,0.52,6.75254958152465
0.227177183416454,0.135289930499487,0.381473125712255,1984,-1.48202502228172,-2.00033517008208,-0.963714874481353,0.259155073900182,0.59,-0.527632742082372,0.39,0.0115385040934668
0.218393240891479,0.0921845341959087,0.517392728434487,1985,-1.52145798388939,-2.38396290439972,-0.65895306337905,0.431252460255168,0.59,-0.527632742082372,0.37,1.05970395790705
0.20362262528617,0.0739738654622578,0.560497592890915,1986,-1.59148687431985,-2.60404341758593,-0.578930331053782,0.506278271633036,0.59,-0.527632742082372,0.35,1.78063148843787
0.186458229060089,0.0652582088720622,0.532755522793832,1987,-1.67954803785209,-2.72940343422392,-0.629692641480265,0.524927698185913,0.59,-0.527632742082372,0.32,1.41023782407542
0.172034888347508,0.0653845523873013,0.4526451849579,1988,-1.76005798350808,-2.72746925044811,-0.792646716568056,0.483705633470013,0.59,-0.527632742082372,0.29,0.541894446091351
0.151879990300311,0.0935048354136935,0.246698808158581,1989,-1.8846646074827,-2.36974212837023,-1.39958708659518,0.242538760443763,0.59,-0.527632742082372,0.26,1.10238814743369e-06
0.181785128848354,0.079262105453417,0.41691843638741,1990,-1.70492990009853,-2.53499512768903,-0.874864672508028,0.415032613795249,0.59,-0.527632742082372,0.31,0.227956571561383
0.215811373751175,0.0846370252549712,0.550285751419811,1991,-1.53335052249055,-2.46938345734314,-0.597317587637952,0.468016467426298,0.59,-0.527632742082372,0.37,1.58214016367075
0.254477842810215,0.10502243752359,0.61662035283455,1992,-1.3685415084311,-2.25358126095237,-0.483501755909827,0.442519876260635,0.59,-0.527632742082372,0.43,2.86986226628718
0.300936003916493,0.189682859379137,0.477441550331187,1993,-1.20085764841142,-1.66240176258567,-0.739313534237163,0.230772057087128,0.59,-0.527632742082372,0.51,0.176553737084495
0.377553173906941,0.222593472894599,0.640388944354636,1994,-0.974043862180988,-1.50240816269728,-0.445679561664692,0.264182150258148,0.59,-0.527632742082372,0.64,4.55345163632606
0.399593639940188,0.214359292282858,0.74489458973371,1995,-0.917307148399997,-1.5401017358964,-0.294512560903595,0.311397293748201,0.59,-0.527632742082372,0.68,10.5399070717324
0.574849120056735,0.277691628864882,1.18999449922487,1996,-0.553647672518995,-1.28124402965063,0.173948684612642,0.363798178565819,0.59,-0.527632742082372,0.97,47.1496236368256
0.764584988923271,0.368367325603231,1.58697627247336,1997,-0.268422090500474,-0.998674671250944,0.461830490249997,0.365126290375235,0.59,-0.527632742082372,1.3,76.1123292424015
0.893250957586146,0.450026401747616,1.77300102867308,1998,-0.1128877100544,-0.798449027388564,0.572673607279765,0.342780658667082,0.59,-0.527632742082372,1.51,88.6849602338013
1.04010147465867,0.531929628436585,2.03374848805984,1999,0.0393182801806449,-0.631244075764757,0.709880636126047,0.335281177972701,0.59,-0.527632742082372,1.76,95.4578907137309
1.03277164981066,0.516216049387593,2.06622262503851,2000,0.0322461103387861,-0.66122990076756,0.725722121445132,0.346738005553173,0.59,-0.527632742082372,1.75,94.6812472040837
0.781405077349573,0.391030446306346,1.56149962407104,2001,-0.246661598622394,-0.938969854237143,0.445646656992354,0.346154127807374,0.59,-0.527632742082372,1.32,79.1516310381287
0.632067377034485,0.315285726672198,1.26713369909899,2002,-0.458759281285859,-1.15427598249418,0.23675741992246,0.347758350604159,0.59,-0.527632742082372,1.07,57.8496937355503
0.629754137058103,0.323475764857974,1.2260277777407,2003,-0.462425794405211,-1.12863108327878,0.203779494468363,0.333102644436787,0.59,-0.527632742082372,1.07,57.7599549730941
0.796858204649596,0.584848835162887,1.0857215747733,2004,-0.227078527375613,-0.536401866572646,0.0822448118214205,0.154661669598517,0.59,-0.527632742082372,1.35,97.4010114263624
0.979485929009143,0.733350701188176,1.30823176901924,2005,-0.0207274071839896,-0.310131245145866,0.268676430777887,0.144701918980938,0.59,-0.527632742082372,1.66,99.9770061863259
1.09603351052992,0.816614959265712,1.4710598214913,2006,0.0916977633594314,-0.202587581300808,0.385983108019671,0.14714267233012,0.59,-0.527632742082372,1.86,99.9987177529333
1.05934299516034,0.743724513611382,1.50890223578359,2007,0.0576489000722278,-0.296084590122707,0.411382390267162,0.176866745097467,0.59,-0.527632742082372,1.8,99.953213041035
0.995895333622814,0.594193569212237,1.66916568425101,2008,-0.00411311364361801,-0.520550138610247,0.512323911323011,0.258218512483314,0.59,-0.527632742082372,1.69,97.8690706403167
1.41408584301899,1.10226378410874,1.81411999582622,2009,0.346483274980295,0.097366050606376,0.595600499354215,0.12455861218696,0.59,-0.527632742082372,2.4,99.9999999998872
2.01613686961767,1.59359290856467,2.55071910472597,2010,0.701183239580017,0.465991157891428,0.936375321268606,0.117596040844294,0.59,-0.527632742082372,3.42,100
2.43276168829071,1.56376924758043,3.78465649019017,2011,0.889027109267337,0.447099091327822,1.33095512720685,0.220964008969758,0.59,-0.527632742082372,4.12,99.9999999927844
1.73123271719357,1.0128066484471,2.95926841088265,2012,0.548833708055203,0.0127253368087181,1.08494207930169,0.268054185623242,0.59,-0.527632742082372,2.93,99.9970384530434
1.26036397437891,0.67051097115786,2.36911462487944,2013,0.23140054780359,-0.399715213742727,0.862516309349907,0.315557880773158,0.59,-0.527632742082372,2.14,99.1921938607382
0.942454064307025,0.499897989248242,1.77680183243897,2014,-0.0592680989834954,-0.69335122287868,0.57481502491169,0.317041561947592,0.59,-0.527632742082372,1.6,93.0202019128299
0.952194920055308,0.492260803731817,1.84185935363054,2015,-0.0489855171915172,-0.708746614051504,0.610775579668469,0.329880548429993,0.59,-0.527632742082372,1.61,92.6606080999715
1.00756212159978,0.524317650020301,1.93619541292067,2016,0.00753367209396352,-0.645657575998687,0.660724920186614,0.326595624046325,0.59,-0.527632742082372,1.71,94.9353881173901
1.08008258717953,0.557318099965419,2.09320026606136,2017,0.0770375078231527,-0.584619106977075,0.73869412262338,0.330828307400114,0.59,-0.527632742082372,1.83,96.6206190018112
0.994331872757857,0.537997800529471,1.83773218442366,2018,-0.00568425203581591,-0.619900807063894,0.608532302992262,0.307108277514039,0.59,-0.527632742082372,1.69,95.5393001004549
1.06130554502643,0.590044521579357,1.90895672904295,2019,0.0594997965212854,-0.527557284625362,0.646556877667933,0.293528540573324,0.59,-0.527632742082372,1.8,97.7263743955853
1.21421675971192,0.68007095324603,2.16789488292106,2020,0.19409922670897,-0.385558143246471,0.77375659666441,0.28982868497772,0.59,-0.527632742082372,2.06,99.3616474354898
1.26077523647783,0.814598567835676,1.95133438687359,2021,0.231726798810117,-0.205059841889091,0.668513439509326,0.218393320349604,0.59,-0.527632742082372,2.14,99.9746496921394
0.582608395393883,0.288386819039552,1.17700435655793,2022,-0.540240024341126,-1.24345257836214,0.162972529679893,0.35160627701051,0.59,-0.527632742082372,0.99,48.5698490782205
0.515743342002095,0.146603140880916,1.81436218365575,2023,-0.662146036465348,-1.92002606492338,0.595733991992686,0.628940014229017,0.59,-0.527632742082372,0.87,41.5323043805575
0.333077436044133,0.100459395962361,1.1043325249865,2024,-1.09938027536201,-2.2980016533962,0.0992411026721714,0.599310689017093,0.59,-0.527632742082372,0.56,17.0039652245476
