"logssb","CV","sdlogssb","logLRP","Lsdlogssb","Hsdlogssb","probLRP","LprobLRP","UprobLRP","ssb","Lssb","Hssb","ratio"
9,0.0233673323690734,0.210305991321661,10.598557136595,0.0637672471063727,0.356844735536949,1.4681061433077e-14,5.46975920144744e-139,3.73741218662612e-06,8103.08392757538,7151.06228278612,16308.075305842,0.20218803735279
9.001,0.0233673323690734,0.21032935865403,10.598557136595,0.0637743323560511,0.356884384952009,1.53300341705547e-14,8.69458468726275e-139,3.79561616190216e-06,8111.19106439577,7158.11751568429,16325.6602022476,0.202390326517868
9.002,0.0233673323690734,0.210352725986399,10.598557136595,0.0637814176057297,0.356924034367068,1.60070470265824e-14,1.38145568755051e-138,3.854673018616e-06,8119.30631240791,7165.17970927017,16343.264060338,0.202592818073289
9.003,0.0233673323690734,0.210376093318768,10.598557136595,0.0637885028554081,0.356963683782128,1.67132827472417e-14,2.19398003741503e-138,3.9145944071063e-06,8127.42967972703,7172.24887041115,16360.8869005592,0.202795512221545
9.004,0.0233673323690734,0.210399460651137,10.598557136595,0.0637955881050866,0.357003333197188,1.74499727157052e-14,3.48286061649233e-138,3.97539212414289e-06,8135.5611744765,7179.32500598142,16378.5287433797,0.202998409165331
9.005,0.0233673323690734,0.210422827983506,10.598557136595,0.0638026733547651,0.357042982612247,1.82183988990782e-14,5.52646393868083e-138,4.03707811458688e-06,8143.70080478784,7186.40812286196,16396.1896092899,0.203201509107542
9.006,0.0233673323690734,0.210446195315875,10.598557136595,0.0638097586044436,0.357082632027307,1.90198958709609e-14,8.76529472645035e-138,4.09966447306723e-06,8151.84857880065,7193.49822794051,16413.8695188022,0.20340481225128
9.007,0.0233673323690734,0.210469562648244,10.598557136595,0.0638168438541221,0.357122281442367,1.98558529125954e-14,1.38961264326313e-137,4.16316344567488e-06,8160.00450466271,7200.59532811161,16431.5684924512,0.203608318799846
9.008,0.0233673323690734,0.210492929980613,10.598557136595,0.0638239291038006,0.357161930857426,2.07277161955344e-14,2.20206002943857e-137,4.22758743167227e-06,8168.16859052997,7207.69943027663,16449.2865507936,0.203812028956749
9.009,0.0233673323690734,0.210516297312982,10.598557136595,0.063831014353479,0.357201580272486,2.1636991048921e-14,3.48797069961057e-137,4.29294898522075e-06,8176.3408445665,7214.81054134374,16467.0237144085,0.204015942925697
9.01,0.0233673323690734,0.210539664645352,10.598557136595,0.0638380996031575,0.357241229687546,2.25852443145384e-14,5.52236225985768e-137,4.35926081712394e-06,8184.52127494455,7221.9286682279,16484.7800038967,0.204220060910605
9.011,0.0233673323690734,0.210563031977721,10.598557136595,0.063845184852836,0.357280879102605,2.35741067929517e-14,8.73947733095067e-137,4.42653579658945e-06,8192.70988984456,7229.05381785092,16502.5554398818,0.204424383115592
9.012,0.0233673323690734,0.21058639931009,10.598557136595,0.0638522701025145,0.357320528517665,2.46052757841264e-14,1.38246658998577e-136,4.49478695300682e-06,8200.90669745515,7236.18599714143,16520.3500430092,0.204628909744978
9.013,0.0233673323690734,0.210609766642459,10.598557136595,0.063859355352193,0.357360177932725,2.56805177260721e-14,2.18591141697931e-136,4.56402747774291e-06,8209.11170597311,7243.32521303489,16538.1638339467,0.204833641003291
9.014,0.0233673323690734,0.210633133974828,10.598557136595,0.0638664406018715,0.357399827347784,2.68016709351972e-14,3.45477139263687e-136,4.63427072595571e-06,8217.32492360346,7250.4714724736,16555.9968333844,0.205038577095262
9.015,0.0233673323690734,0.210656501307197,10.598557136595,0.06387352585155,0.357439476762844,2.79706484521391e-14,5.4577674449252e-136,4.70553021842485e-06,8225.54635855943,7257.62478240674,16573.8490620348,0.205243718225828
9.016,0.0233673323690734,0.210679868639566,10.598557136595,0.0638806111012284,0.357479126177904,2.91894409970239e-14,8.61826425464915e-136,4.77781964339975e-06,8233.77601906243,7264.7851497903,16591.7205406325,0.205449064600129
9.017,0.0233673323690734,0.210703235971935,10.598557136595,0.0638876963509069,0.357518775592963,3.04601200382473e-14,1.36029708425572e-135,4.85115285846718e-06,8242.01391334214,7271.95258158717,16609.6112899347,0.205654616423511
9.018,0.0233673323690734,0.210726603304304,10.598557136595,0.0638947816005854,0.357558425008023,3.17848409789694e-14,2.14613492233397e-135,4.92554389243525e-06,8250.26004963646,7279.12708476709,16627.5213307209,0.205860373901528
9.019,0.0233673323690734,0.210749970636673,10.598557136595,0.0639018668502639,0.357598074423083,3.31658464657159e-14,3.38446230992742e-135,5.00100694723601e-06,8258.5144361915,7286.30866630667,16645.4506837929,0.206066337239935
9.02,0.0233673323690734,0.210773337969042,10.598557136595,0.0639089520999424,0.357637723838142,3.46054698236409e-14,5.3349685218298e-135,5.07755639984744e-06,8266.77708126167,7293.49733318943,16663.3993699751,0.206272506644696
9.021,0.0233673323690734,0.210796705301411,10.598557136595,0.0639160373496209,0.357677373253202,3.61061386231046e-14,8.40588940234711e-135,5.15520680423281e-06,8275.04799310962,7300.69309240577,16681.3674101142,0.206478882321982
9.022,0.0233673323690734,0.21082007263378,10.598557136595,0.0639231225992994,0.357717022668262,3.76703783824561e-14,1.32386964845393e-134,5.23397289329847e-06,8283.32718000624,7307.89595095295,16699.3548250795,0.206685464478166
