"","par","sd(par)","exp(par)","Low","High"
"logFpar_0",0.8,0.04,2.22,2.06,2.39
"logSdLogFsta_0",-0.7,0.09,0.49,0.41,0.6
"logSdLogN_0",-0.11,0.08,0.89,0.75,1.05
"logSdLogN_1",-1.03,0.08,0.36,0.31,0.42
"logSdLogObs_0",0.57,0.09,1.78,1.47,2.14
"logSdLogObs_1",-0.11,0.07,0.89,0.78,1.02
"logSdLogObs_2",-1.09,0.1,0.34,0.28,0.41
"logSdLogObs_3",-0.3,0.11,0.74,0.6,0.92
"rec_loga_0",0.97,0.33,2.64,1.37,5.09
"rec_logb_0",-11.79,0.56,0,0,0
"logitSel_0",-2.37,0.2,0.09,0.06,0.14
"logitSel_1",-0.74,0.13,0.48,0.37,0.62
"logitSel_2",0.36,0.13,1.44,1.12,1.86
"logitSel_3",1.24,0.26,3.47,2.07,5.8
