"MP","TAC2026","TAC2027","TAC2028","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2027","LRP2028","SSB2027","SSB2028","rec","file","Grow2028","Grow2027"
1,0,0,0,0,1,0,1,47,58,0.96,1.14,"BH","projBH.MP1",88,83
1,0,0,0,0,1,0,1,49,60,0.97,1.19,"MEAN","projM.MP1",92,88
2,500,500,500,0,1,0,1,46,57,0.94,1.11,"BH","projBH.MP2",86,81
2,500,500,500,0,1,0,1,47,58,0.96,1.17,"MEAN","projM.MP2",90,87
