"Estimate","Low","High","year"
501010,267543,938210,1969
441131,264298,736277,1970
366421,239140,561445,1971
275496,189690,400118,1972
225840,161271,316261,1973
229908,159416,331571,1974
274130,173334,433540,1975
326466,197051,540874,1976
324066,199900,525358,1977
271645,163455,451445,1978
222293,135153,365617,1979
176880,97787,319947,1980
156695,87195,281591,1981
186772,108585,321258,1982
330745,195502,559543,1983
439328,260930,739696,1984
498376,294219,844196,1985
455010,274366,754592,1986
404053,251639,648782,1987
398958,257136,618999,1988
464080,301040,715421,1989
441974,278368,701737,1990
391791,251645,609987,1991
331309,222675,492940,1992
260825,176827,384726,1993
210529,136166,325503,1994
177206,102820,305406,1995
160545,80143,321610,1996
146599,68014,315981,1997
125993,56868,279141,1998
99830,45205,220464,1999
122487,60546,247797,2000
149705,76423,293257,2001
183867,105617,320092,2002
197471,132252,294851,2003
218514,170028,280826,2004
202679,157630,260603,2005
182686,143491,232588,2006
153508,114525,205760,2007
125174,86006,182178,2008
111694,92260,135221,2009
74768,62551,89373,2010
44491,31304,63232,2011
38232,19372,75452,2012
37793,19259,74162,2013
38248,19865,73644,2014
39669,20663,76160,2015
55419,28125,109201,2016
63537,31657,127523,2017
56221,28944,109204,2018
39981,21717,73606,2019
26797,16628,43184,2020
19998,13665,29267,2021
20386,11478,36208,2022
24464,12478,47961,2023
28348,12877,62406,2024
31765,12379,81508,2025
