"Estimate","Low","High","year"
408991,221048,756730,1969
386622,229330,651796,1970
332597,215284,513836,1971
250487,170569,367850,1972
189663,135649,265186,1973
173755,123284,244888,1974
183671,119959,281224,1975
254568,154132,420451,1976
290887,178872,473049,1977
249586,149246,417386,1978
198345,120552,326338,1979
164546,90467,299283,1980
126161,68447,232538,1981
125507,72591,216996,1982
178770,108116,295596,1983
339639,204525,564012,1984
440704,255000,761648,1985
419957,250269,704698,1986
384016,236825,622687,1987
350067,223450,548430,1988
406341,262956,627912,1989
408331,255992,651326,1990
361463,230173,567640,1991
301763,201646,451587,1992
244124,165660,359754,1993
190341,123585,293156,1994
151064,88682,257327,1995
134738,67011,270916,1996
118603,54462,258284,1997
105388,47014,236239,1998
84092,37122,190490,1999
80964,40118,163399,2000
125888,63714,248732,2001
170764,96535,302073,2002
172431,112556,264159,2003
168093,133239,212063,2004
164344,129413,208704,2005
135730,107065,172069,2006
129904,97806,172536,2007
100685,65724,154241,2008
85501,70477,103727,2009
64694,55147,75892,2010
32924,25017,43329,2011
29925,14735,60776,2012
31794,15871,63691,2013
30739,15586,60623,2014
27322,14042,53160,2015
29717,14953,59057,2016
42873,21336,86151,2017
44638,21918,90907,2018
32044,16795,61137,2019
21642,12758,36714,2020
13112,9544,18012,2021
13404,7687,23374,2022
18473,9557,35708,2023
21159,9641,46440,2024
24024,9568,60321,2025
