"Estimate","Low","High","year"
115285,39212,338940,1969
208140,83178,520840,1970
114315,45675,286106,1971
150486,60265,375777,1972
201890,81016,503105,1973
361034,144852,899852,1974
553804,222237,1380054,1975
246131,97216,623153,1976
82137,31473,214360,1977
115773,43785,306120,1978
158673,59491,423209,1979
45675,16957,123032,1980
198487,76407,515626,1981
373761,149863,932168,1982
954850,402492,2265231,1983
111433,42894,289487,1984
313362,122197,803585,1985
132247,51788,337707,1986
128000,50519,324310,1987
454298,181652,1136164,1988
489780,195605,1226375,1989
190036,75745,476779,1990
226512,90959,564076,1991
215803,85953,541818,1992
44435,17011,116068,1993
163757,61971,432724,1994
185283,67173,511064,1995
165135,58195,468593,1996
212459,74535,605604,1997
92675,32340,265571,1998
115411,41262,322804,1999
440513,174643,1111131,2000
91312,35859,232516,2001
95306,38576,235459,2002
244849,103346,580102,2003
397360,173283,911196,2004
172535,73236,406475,2005
321667,138992,744428,2006
77328,31894,187482,2007
173040,75656,395777,2008
171556,76665,383898,2009
42833,17367,105641,2010
111248,46619,265474,2011
68038,26515,174588,2012
45855,16822,124993,2013
58182,21481,157590,2014
84072,31058,227575,2015
163159,61443,433262,2016
38376,13792,106781,2017
56201,21317,148170,2018
22277,8736,56802,2019
26920,10850,66790,2020
41054,16494,102183,2021
39479,14706,105985,2022
33877,10983,104489,2023
51773,14355,186726,2024
56595,9789,327200,2025
