"logssb","CV","sdlogssb","logLRP","Lsdlogssb","Hsdlogssb","probLRP","LprobLRP","UprobLRP","ssb","Lssb","Hssb","ratio"
9,0.0235215054833637,0.211693549350273,10.6053009131481,0.053300066174921,0.370087032525625,1.68650854335171e-14,1.40063424966426e-199,7.20134097719169e-06,8103.08392757538,7299.28640995263,16736.8906614959,0.200829113696084
9.001,0.0235215054833637,0.211717070855757,10.6053009131481,0.053305988404496,0.370128153307017,1.76043605256535e-14,2.7269866575406e-199,7.30634492284312e-06,8111.19106439577,7306.50453596779,16754.9862661054,0.201030043257817
9.002,0.0235215054833637,0.21174059236124,10.6053009131481,0.053311910634071,0.370169274088409,1.83753062907542e-14,5.30597349998242e-199,7.4127840921439e-06,8119.30631240791,7313.72979985101,16773.101435335,0.20123117384961
9.003,0.0235215054833637,0.211764113866723,10.6053009131481,0.053317832863646,0.370210394869801,1.91792471031121e-14,1.03174196561856e-198,7.52067668109678e-06,8127.42967972703,7320.96220866076,16791.2361903374,0.201432505672594
9.004,0.0235215054833637,0.211787635372207,10.6053009131481,0.053323755093221,0.370251515651192,2.00175613211569e-14,2.00493931917543e-198,7.63004109647323e-06,8135.5611744765,7328.20176946253,16809.3905522885,0.201634038928099
9.005,0.0235215054833637,0.21181115687769,10.6053009131481,0.053329677322796,0.370292636432584,2.08916834290564e-14,3.89363871366471e-198,7.74089595799116e-06,8143.70080478784,7335.44848932879,16827.564542387,0.201835773817661
9.006,0.0235215054833637,0.211834678383173,10.6053009131481,0.053335599552371,0.370333757213976,2.18031062608514e-14,7.55674058414369e-198,7.85326010051239e-06,8151.84857880065,7342.70237533901,16845.7581818544,0.202037710543013
9.007,0.0235215054833637,0.211858199888657,10.6053009131481,0.053341521781946,0.370374877995368,2.27533833102263e-14,1.46567601895969e-197,7.96715257626101e-06,8160.00450466271,7349.96343457965,16863.9714919352,0.202239849306093
9.008,0.0235215054833637,0.21188172139414,10.6053009131481,0.053347444011521,0.370415998776759,2.37441311290776e-14,2.8409671985593e-197,8.08259265705937e-06,8168.16859052997,7357.23167414419,16882.2044938969,0.202442190309039
9.009,0.0235215054833637,0.211905242899624,10.6053009131481,0.053353366241096,0.370457119558151,2.47770318182171e-14,5.50325184663071e-197,8.19959983658497e-06,8176.3408445665,7364.5071011331,16900.45720903,0.202644733754192
9.01,0.0235215054833637,0.211928764405107,10.6053009131481,0.0533592884706709,0.370498240339543,2.58538356136177e-14,1.06536309885368e-196,8.31819383264569e-06,8184.52127494455,7371.78972265389,16918.729658648,0.202847479844095
