"","ssb0","ssb","rec","f","catch","exploit","age","LRP","ratio"
"1969",408990.62,358558.64,115285.23,0.13,31505.42,7.7,3,40348.15,8.89
"1970",386621.85,338948.13,208139.84,0.14,33863.56,8.76,3.37,40348.15,8.4
"1971",332596.6,291584.64,114314.87,0.15,36463.93,10.96,3.95,40348.15,7.23
"1972",250487.13,219599.97,150486.48,0.18,34363.52,13.72,4.08,40348.15,5.44
"1973",189663.36,166276.27,201889.91,0.33,43951.43,23.17,3.38,40348.15,4.12
"1974",173754.86,152329.42,361033.54,0.48,50601.88,29.12,2.66,40348.15,3.78
"1975",183671.41,161023.18,553803.98,0.42,41743.04,22.73,2.1,40348.15,3.99
"1976",254567.91,223177.55,246130.99,0.32,38524.91,15.13,2.39,40348.15,5.53
"1977",290887,255018.19,82137,0.23,34197.94,11.76,3.02,40348.15,6.32
"1978",249586.08,218810.02,115773.17,0.23,35556.38,14.25,3.49,40348.15,5.42
"1979",198344.83,173887.25,158672.61,0.28,35241.92,17.77,3.45,40348.15,4.31
"1980",164545.82,144255.94,45675.47,0.34,34148.79,20.75,3.88,40348.15,3.58
"1981",126160.81,110604.13,198487.39,0.38,30939.57,24.52,2.96,40348.15,2.74
"1982",125506.98,110030.92,373760.58,0.41,29026.06,23.13,2.13,40348.15,2.73
"1983",178770.21,156726.34,954849.86,0.31,24177.54,13.52,1.59,40348.15,3.88
"1984",339638.58,297758.29,111433.36,0.23,35443.14,10.44,2.34,40348.15,7.38
"1985",440703.95,386361.45,313362.16,0.22,46356.9,10.52,2.72,40348.15,9.58
"1986",419956.99,368172.77,132246.9,0.2,46469.09,11.07,3.33,40348.15,9.12
"1987",384015.53,336663.19,127999.55,0.19,48330.97,12.59,3.92,40348.15,8.34
"1988",350066.83,306900.65,454297.57,0.17,42360.15,12.1,3.41,40348.15,7.61
"1989",406341.28,356235.98,489780.37,0.15,43601.94,10.73,3.27,40348.15,8.83
"1990",408331.04,357980.4,190035.82,0.18,46973.02,11.5,3.63,40348.15,8.87
"1991",361462.5,316891.14,226511.95,0.22,49957.02,13.82,3.68,40348.15,7.85
"1992",301762.59,264552.73,215802.86,0.26,48237.4,15.99,3.6,40348.15,6.56
"1993",244124.26,214021.69,44434.68,0.3,47162.8,19.32,4.08,40348.15,5.3
"1994",190340.75,166870.14,163757.16,0.38,45077.36,23.68,3.6,40348.15,4.14
"1995",151063.61,132436.2,185282.7,0.4,37684.09,24.95,3.12,40348.15,3.28
"1996",134737.85,118123.54,165134.98,0.57,44069.83,32.71,2.91,40348.15,2.93
"1997",118602.83,103978.11,212458.68,0.76,45361.44,38.25,2.44,40348.15,2.58
"1998",105387.96,92392.74,92675.12,0.9,38682.79,36.71,2.54,40348.15,2.29
"1999",84091.64,73722.43,115410.73,1.04,36642.71,43.57,2.43,40348.15,1.83
"2000",80964.49,70980.89,440512.76,1.04,30388.49,37.53,1.55,40348.15,1.76
"2001",125887.59,110364.6,91311.64,0.79,34921.38,27.74,2.07,40348.15,2.74
"2002",170764.45,149707.76,95305.59,0.63,47369.74,27.74,2.65,40348.15,3.71
"2003",172431.47,151169.22,244848.86,0.63,58661.01,34.02,2.66,40348.15,3.75
"2004",168092.67,147365.43,397360.33,0.8,72601.86,43.19,2.29,40348.15,3.65
"2005",164344.42,144079.37,172535.35,0.98,70812.77,43.09,2.47,40348.15,3.57
"2006",135729.75,118993.13,321666.85,1.09,72175.54,53.18,2.18,40348.15,2.95
"2007",129903.8,113885.57,77327.96,1.06,65382.04,50.33,2.59,40348.15,2.82
"2008",100684.63,88269.37,173039.63,0.99,50387.54,50.04,2.42,40348.15,2.19
"2009",85500.72,74957.76,171556.31,1.42,52159.91,61.01,2.24,40348.15,1.86
"2010",64693.51,56716.26,42832.52,2.02,45835.26,70.85,2.47,40348.15,1.41
"2011",32923.95,28864.15,111248.16,2.41,23415.07,71.12,1.82,40348.15,0.72
"2012",29925.4,26235.35,68037.65,1.74,16619.15,55.54,1.77,40348.15,0.65
"2013",31793.74,27873.31,45855.13,1.27,13887.85,43.68,2.03,40348.15,0.69
"2014",30738.57,26948.25,58181.98,0.95,12781.8,41.58,2.08,40348.15,0.67
"2015",27321.99,23952.96,84071.58,0.96,11081.17,40.56,1.85,40348.15,0.59
"2016",29716.89,26052.55,163158.59,1.01,13065.41,43.97,1.6,40348.15,0.65
"2017",42873.15,37586.53,38376.41,1.08,15819.29,36.9,2.14,40348.15,0.93
"2018",44637.52,39133.34,56201.13,1,16372.1,36.68,2.38,40348.15,0.97
"2019",32043.52,28092.28,22276.54,1.06,13573.5,42.36,2.67,40348.15,0.7
"2020",21642.38,18973.69,26919.69,1.18,10972.43,50.7,2.62,40348.15,0.47
"2021",13111.66,11494.88,41053.52,1.14,6312.46,48.14,1.98,40348.15,0.28
"2022",13404.45,11751.57,39478.96,0.44,2273.31,16.96,1.81,40348.15,0.29
"2023",18472.94,16195.07,33876.94,0.4,2801.11,15.16,2.09,40348.15,0.4
"2024",21159.26,18550.15,51773.29,0.3,2524.87,11.93,2.08,40348.15,0.46
"2025",24024.32,21061.92,56594.67,0.25,2948.77,12.27,2.11,40348.15,0.52
