"Estimate","Low","High","year","logEstimate","logLow","logHigh","logsd","LRP","logLRP","ratio","prob"
358558.640223074,193790.569533573,663418.755556867,1969,12.7898474967001,12.1745333164374,13.4051616769629,0.307657090131387,40348.1536040527,10.6053009131481,8.89,99.9999999999379
338948.128842647,201051.665970309,571424.432080544,1970,12.7336023623914,12.2113171986393,13.2558875261436,0.261142581876065,40348.1536040527,10.6053009131481,8.4,100
291584.643386562,188737.488442618,450475.44587157,1971,12.5830856144465,12.1481123785175,13.0180588503755,0.21748661796449,40348.1536040527,10.6053009131481,7.23,100
219599.967289918,149536.501625039,322490.797294795,1972,12.2995628396645,11.9152958000382,12.6838298792908,0.192133519813158,40348.1536040527,10.6053009131481,5.44,100
166276.273540597,118922.144111174,232486.551173355,1973,12.0214059823661,11.6862243068114,12.3565876579208,0.167590837777362,40348.1536040527,10.6053009131481,4.12,100
152329.423309297,108081.9110706,214691.36672265,1974,11.933800713325,11.5906446544781,12.2769567721718,0.171578029423421,40348.1536040527,10.6053009131481,3.78,99.9999999999995
161023.184515104,105166.649152882,246546.468488244,1975,11.9893036367985,11.5633015057617,12.4153057678354,0.213001065518434,40348.1536040527,10.6053009131481,3.99,99.9999999959203
223177.549077884,135125.850075516,368606.142973945,1976,12.3157229178615,11.8139618459524,12.8174839897706,0.250880535954569,40348.1536040527,10.6053009131481,5.53,99.9999999995374
255018.193752503,156815.690778573,414717.933019973,1977,12.4490901696444,11.9628264506328,12.9353538886561,0.243131859505821,40348.1536040527,10.6053009131481,6.32,99.9999999999983
218810.019323796,130842.794834071,365918.693629224,1978,12.2959591406378,11.7817518421248,12.8101664391508,0.257103649256501,40348.1536040527,10.6053009131481,5.42,99.9999999975801
173887.24704022,105686.789385247,286097.958497049,1979,12.0661623626344,11.5682351818832,12.5640895433855,0.24896359037557,40348.1536040527,10.6053009131481,4.31,99.9999997791543
144255.938830408,79311.8662937846,262379.09735675,1980,11.8793443539243,11.2811430344331,12.4775456734155,0.299100659745585,40348.1536040527,10.6053009131481,3.58,99.9989759469369
110604.126469268,60007.0329161285,203863.983895493,1981,11.6137126772231,11.0022170496039,12.2252083048423,0.305747813809612,40348.1536040527,10.6053009131481,2.74,99.9513433841545
110030.919024005,63640.0213982333,190238.828888943,1982,11.6085166873148,11.0609978186904,12.1560355559392,0.273759434312202,40348.1536040527,10.6053009131481,2.73,99.9876131891706
156726.344321729,94784.6877239867,259146.784087963,1983,11.9622565336886,11.4593631532982,12.465149914079,0.25144669019521,40348.1536040527,10.6053009131481,3.88,99.9999966041022
297758.288168116,179305.002599761,494464.72149308,1984,12.6040373228272,12.0968435599277,13.1112310857266,0.253596881449725,40348.1536040527,10.6053009131481,7.38,99.9999999999998
386361.448620529,223555.927710159,667730.757619137,1985,12.8645286056923,12.3174168975716,13.4116403138129,0.273555854060319,40348.1536040527,10.6053009131481,9.58,100
368172.768777421,219408.509745788,617802.78178948,1986,12.8163075873531,12.298690612515,13.3339245621912,0.258808487419044,40348.1536040527,10.6053009131481,9.12,100
336663.190524237,207622.536880686,545904.628451258,1987,12.7268382749205,12.2434769835373,13.2101995663037,0.24168064569161,40348.1536040527,10.6053009131481,8.34,100
306900.649165935,195896.752823038,480804.337494847,1988,12.6342793558416,12.1853430281089,13.0832156835744,0.22446816386637,40348.1536040527,10.6053009131481,7.61,100
356235.983719219,230531.13969204,550485.614507122,1989,12.783348665845,12.348141228572,13.2185561031179,0.217603718636481,40348.1536040527,10.6053009131481,8.83,100
357980.395650037,224425.962855153,571012.203933223,1990,12.7882335031293,12.3213011449361,13.2551658613226,0.233466179096625,40348.1536040527,10.6053009131481,8.87,100
316891.142299311,201790.315422029,497645.27032797,1991,12.6663135941975,12.2149843947789,13.1176427936161,0.225664599709299,40348.1536040527,10.6053009131481,7.85,100
264552.728818225,176781.333001963,395902.356525348,1992,12.4857958632223,12.0826688410434,12.8889228854012,0.201563511089459,40348.1536040527,10.6053009131481,6.56,100
214021.68771804,145232.434625096,315392.928114991,1993,12.2738326333458,11.8860907353882,12.6615745313034,0.19387094897881,40348.1536040527,10.6053009131481,5.3,100
166870.140537741,108345.646090317,257007.501527779,1994,12.0249711873396,11.5930818224037,12.4568605522754,0.215944682467929,40348.1536040527,10.6053009131481,4.14,99.9999999975547
132436.199001877,77746.6261608452,225596.243492015,1995,11.7938562914749,11.2612104356703,12.3265021472795,0.266322927902304,40348.1536040527,10.6053009131481,3.28,99.9995955889923
118123.539160865,58747.7944078774,237509.69112157,1996,11.6794862978274,10.9810088893081,12.3779637063467,0.349238704259658,40348.1536040527,10.6053009131481,2.93,99.8950276471908
103978.105847161,47746.3318041425,226435.122595648,1997,11.5519356352605,10.7736575221023,12.3302137484187,0.389139056579098,40348.1536040527,10.6053009131481,2.58,99.2505374942776
92392.7374106742,41217.0448941235,207108.92661436,1998,11.4338036550891,10.6266071608052,12.241000149373,0.403598247141938,40348.1536040527,10.6053009131481,2.29,97.995356119726
73722.4329537726,32544.6769512409,167001.108315388,1999,11.2080624138677,10.3903690997394,12.025755727996,0.408846657064141,40348.1536040527,10.6053009131481,1.83,92.9799211875269
70980.8905225597,35171.1357212901,143250.614916191,2000,11.1701659722272,10.4679810172779,11.8723509271764,0.351092477474635,40348.1536040527,10.6053009131481,1.76,94.6178519478989
110364.596808922,55857.5345489619,218060.899521429,2001,11.6115446803174,10.9305597022731,12.2925296583616,0.340492489022123,40348.1536040527,10.6053009131481,2.74,99.8437970751678
149707.756486553,84631.0122927932,264825.053429564,2002,11.9164403826029,11.3460560539868,12.4868247112189,0.285192164308017,40348.1536040527,10.6053009131481,3.71,99.9997860913329
151169.218858624,98676.5175022137,231586.331872868,2003,11.9261551430252,11.4996022792039,12.3527080068465,0.213276431910644,40348.1536040527,10.6053009131481,3.75,99.9999999705144
147365.4299244,116809.65237159,185914.173151714,2004,11.9006706988314,11.6683009861295,12.1330404115334,0.116184856350979,40348.1536040527,10.6053009131481,3.65,100
144079.373064294,113455.375858667,182969.432567563,2005,11.8781196285376,11.6391648743534,12.1170743827217,0.119477377092065,40348.1536040527,10.6053009131481,3.57,100
118993.128085723,93862.8493394024,150851.637589072,2006,11.6868210232474,11.449589946222,11.9240521002729,0.118615538512723,40348.1536040527,10.6053009131481,2.95,100
113885.573020786,85745.5537572913,151260.598059523,2007,11.6429494778551,11.3591395124569,11.9267594432533,0.1419049826991,40348.1536040527,10.6053009131481,2.82,99.9999999999869
88269.3674349614,57619.9649520092,135221.90153808,2008,11.3881484117369,10.9616244003775,11.8146724230963,0.213262005679708,40348.1536040527,10.6053009131481,2.19,99.987911557402
74957.7602085046,61786.3799285588,90936.9641330715,2009,11.2246800366434,11.0314382296509,11.4179218436358,0.0966209034962286,40348.1536040527,10.6053009131481,1.86,99.9999999927433
56716.255799187,48347.0579641995,66534.2175373063,2010,10.9458161470241,10.7861606503062,11.105471643742,0.0798277483589436,40348.1536040527,10.6053009131481,1.41,99.9990032828779
28864.1465231145,21932.4859234238,37986.5263525844,2011,10.2703554991769,9.99572419218876,10.544986806165,0.137315653494061,40348.1536040527,10.6053009131481,0.72,0.73591572283157
26235.3496693266,12917.9898966976,53281.7859261367,2012,10.1748630043844,9.46637618448169,10.8833498242872,0.354243409951376,40348.1536040527,10.6053009131481,0.65,11.2165730839003
27873.3087866599,13914.0557925985,55837.1587908807,2013,10.2354248355913,9.54065481629289,10.9301948548896,0.347385009649184,40348.1536040527,10.6053009131481,0.69,14.3495914153705
26948.2470072527,13663.9811901929,53147.615373265,2014,10.2016735281085,9.52251853943145,10.8808285167855,0.339577494338513,40348.1536040527,10.6053009131481,0.67,11.7295322072846
23952.9551525838,12310.8970790399,46604.5696636138,2015,10.0838469836442,9.41824009053143,10.749453876757,0.332803446556384,40348.1536040527,10.6053009131481,0.59,5.8574580235657
