"MP","TAC2026","TAC2027","TAC2028","Canada 2.5%","Canada 97.5%","US 2.5%","US 97.5%","LRP2027","LRP2028","SSB2027","SSB2028","rec","file","Grow2028","Grow2027"
1,0,0,0,192,674,154,1678,44,54,0.91,1.07,"BH","projBH.MP1",83,78
1,0,0,0,192,674,154,1678,46,56,0.93,1.13,"MEAN","projM.MP1",88,84
2,500,500,500,192,674,154,1678,43,53,0.9,1.04,"BH","projBH.MP2",79,76
2,500,500,500,192,674,154,1678,45,54,0.91,1.1,"MEAN","projM.MP2",85,82
