"Canada 2.5%","US 2.5%","Canada 97.5%","US 97.5%","NA"
1,0.0168239977865727,0.0490410980008345,0.983094259096241,0.550803024499301
2,0.00986077123315265,0.048370922240099,0.977830227980498,0.571839917426725
3,0.00605265181486278,0.0438782678223382,0.994838592038777,0.584132361190763
