"Estimate","Low","High","year"
31505.419607529,6787.82446864968,146231.162757797,1969
33863.556912118,12001.9197985432,95546.4214049696,1970
36463.9303277308,28769.8033977758,46215.7560328827,1971
34363.5210141178,31469.7904861536,37523.3377231182,1972
43951.4265954677,37485.4826723666,51532.6937806996,1973
50601.8770692672,45827.4025509198,55873.7746501812,1974
41743.0429157422,28996.2063632321,60093.4346389189,1975
38524.9063570118,19595.9885216871,75738.3792184804,1976
34197.9413843588,30639.8021419413,38169.2802554743,1977
35556.3801324763,17034.9764244748,74215.3165711903,1978
35241.9200031033,26433.1700066441,46986.1513088651,1979
34148.7884931605,14824.1516565051,78664.8560114323,1980
30939.5723943622,10540.146514696,90820.0980518907,1981
29026.0614191352,9396.5960500661,89661.4302688348,1982
24177.5373523392,10499.7910527288,55672.8519156424,1983
35443.144713802,31475.0456252841,39911.5071081702,1984
46356.9010527655,18397.3210908684,116808.434478134,1985
46469.0928457626,15601.7924301958,138405.673551254,1986
48330.9745671596,16425.9130975678,142207.199608118,1987
42360.1493974191,16980.6494564826,105672.180653057,1988
43601.9359133623,39288.5556337761,48388.8701105256,1989
46973.0228795144,19547.1961192667,112878.842826188,1990
49957.0151528504,18422.4194612763,135470.987848695,1991
48237.4001688362,20223.4355666899,115056.948033152,1992
47162.8027586331,41678.1794225583,53369.1729069579,1993
45077.3637740769,38103.5982494279,53327.4760960656,1994
37684.0873800559,34396.4264317923,41285.9877895662,1995
44069.8256898724,19152.8097664325,101402.85211518,1996
45361.4403094448,16878.426737304,121910.667325383,1997
38682.7897185944,13995.0934734132,106920.20194475,1998
36642.7064331131,12668.3552437001,105987.549994781,1999
30388.4925859412,10898.4064353672,84733.5330281878,2000
34921.3781319654,12911.1912141432,94453.1476925104,2001
47369.7407712312,18287.9758410114,122697.687280493,2002
58661.0135305823,26147.2441190884,131605.246532388,2003
72601.8611325502,64945.2912270556,81161.0840496816,2004
70812.7670451247,63556.5560097952,78897.415017489,2005
72175.5438111809,66510.0944444386,78323.5863360781,2006
65382.0370648927,58802.1449245422,72698.2115404234,2007
50387.5437552248,25384.5799044952,100017.592382338,2008
52159.9127285431,48327.5489302776,56296.1821170433,2009
45835.2649689521,42713.3747806798,49185.3318910385,2010
23415.0703050815,20600.7590176761,26613.8503402462,2011
16619.145680755,7136.24516795604,38703.2671464771,2012
13887.8529717487,5524.18748464942,34914.177098598,2013
12781.7977582756,5219.41665185998,31301.2669481442,2014
11081.1680265532,4668.40233684086,26302.8496630816,2015
13065.4066862329,5445.32811566277,31348.8642467017,2016
15819.2930211315,6385.58221116771,39189.8535501993,2017
16372.1045812566,6516.4124474199,41133.9537793887,2018
13573.5005949324,5499.70509011266,33499.9632492757,2019
10972.4348037036,4792.2362017071,25122.7862012808,2020
6312.46036242908,5712.27935770079,6975.70152508733,2021
2273.31109987913,2134.78900425801,2420.8216111877,2022
2801.11001590481,1312.91704695017,5976.17141115546,2023
2524.86879162751,2159.85093875807,2951.57517610924,2024
2948.77360710502,2591.88956159732,3354.79794926158,2025
