"Estimate","Low","High","year"
358559,193791,663419,1969
338948,201052,571424,1970
291585,188737,450475,1971
219600,149537,322491,1972
166276,118922,232487,1973
152329,108082,214691,1974
161023,105167,246546,1975
223178,135126,368606,1976
255018,156816,414718,1977
218810,130843,365919,1978
173887,105687,286098,1979
144256,79312,262379,1980
110604,60007,203864,1981
110031,63640,190239,1982
156726,94785,259147,1983
297758,179305,494465,1984
386361,223556,667731,1985
368173,219409,617803,1986
336663,207623,545905,1987
306901,195897,480804,1988
356236,230531,550486,1989
357980,224426,571012,1990
316891,201790,497645,1991
264553,176781,395902,1992
214022,145232,315393,1993
166870,108346,257008,1994
132436,77747,225596,1995
118124,58748,237510,1996
103978,47746,226435,1997
92393,41217,207109,1998
73722,32545,167001,1999
70981,35171,143251,2000
110365,55858,218061,2001
149708,84631,264825,2002
151169,98677,231586,2003
147365,116810,185914,2004
144079,113455,182969,2005
118993,93863,150852,2006
113886,85746,151261,2007
88269,57620,135222,2008
74958,61786,90937,2009
56716,48347,66534,2010
28864,21932,37987,2011
26235,12918,53282,2012
27873,13914,55837,2013
26948,13664,53148,2014
23953,12311,46605,2015
26053,13109,51775,2016
37587,18705,75528,2017
39133,19215,79698,2018
28092,14724,53598,2019
18974,11185,32187,2020
11495,8367,15791,2021
11752,6739,20492,2022
16195,8378,31305,2023
18550,8452,40714,2024
21062,8388,52882,2025
