"","par","sd(par)","exp(par)","Low","High"
"logFpar_0",0.81,0.04,2.25,2.09,2.41
"logSdLogFsta_0",-0.71,0.09,0.49,0.41,0.59
"logSdLogN_0",-0.13,0.08,0.88,0.74,1.03
"logSdLogN_1",-1.05,0.08,0.35,0.3,0.41
"logSdLogObs_0",0.57,0.09,1.77,1.47,2.12
"logSdLogObs_1",-0.11,0.07,0.89,0.78,1.02
"logSdLogObs_2",-1.07,0.09,0.34,0.29,0.41
"logSdLogObs_3",-0.28,0.11,0.75,0.6,0.94
"rec_loga_0",1.05,0.31,2.84,1.52,5.31
"rec_logb_0",-11.68,0.51,0,0,0
"logitSel_0",-2.36,0.2,0.09,0.06,0.14
"logitSel_1",-0.74,0.13,0.48,0.37,0.62
"logitSel_2",0.36,0.12,1.43,1.11,1.83
"logitSel_3",1.23,0.25,3.42,2.06,5.66
