"MP","LRPy1","LRPy2","SSBy1","SSBy2","Growy1","Growy2","TAC2026","Canada.2.5.","Canada.97.5.","US.2.5.","US.97.5."
1,"45% (44-46%)","55% (54-56%)","0.92 (0.91-0.93)","1.1 (1.07-1.13)","85.5 (83-88)","81 (78-84)",0,192,674,154,1678
2,"44% (43-45%)","53.5% (53-54%)","0.9 (0.9-0.91)","1.07 (1.04-1.1)","82 (79-85)","79 (76-82)",500,192,674,154,1678
