"MP","LRPy1","LRPy2","SSBy1","SSBy2","Growy1","Growy2","TAC2026","Canada.2.5.","Canada.97.5.","US.2.5.","US.97.5."
1,"48% (47-49%)","59% (58-60%)","0.96 (0.96-0.97)","1.17 (1.14-1.19)","90 (88-92)","85.5 (83-88)",0,0,1,0,1
2,"46.5% (46-47%)","57.5% (57-58%)","0.95 (0.94-0.96)","1.14 (1.11-1.17)","88 (86-90)","84 (81-87)",500,0,1,0,1
