"Canada 2.5%","US 2.5%","Canada 97.5%","US 97.5%","NA"
1,195.29423090878,158.59048308683,671.665469734447,1646.31983926391
2,191.861360217944,150.253214164701,669.070302394385,1658.60160306488
3,189.983957344727,157.51166095354,677.455425875117,1687.04176580955
