"Canada 2.5%","US 2.5%","Canada 97.5%","US 97.5%","NA"
1,195.29423090878,1029.76219316042,671.665469734447,7811.29371224785
2,191.861360217944,1824.60962151551,669.070302394385,12115.3323105869
3,189.983957344727,1851.54571140312,677.455425875117,11963.2746718682
