"year","age","Estimate","Low","High"
"1969","1",115285.22716072,39212.4994901187,338939.975118089
"1969","2",887333.767500018,368736.40374702,2135295.58498911
"1969","3",293775.057041263,138390.792552559,623623.743659246
"1969","4",39107.8873711214,18226.5926850248,83911.8359126395
"1969","5",12188.861211424,5511.29374313914,26957.0711625205
"1969","6",12594.0206487318,5472.90283569215,28980.846337394
"1969","7",26020.2347581384,8518.89676377329,79476.5608321267
"1969","8",14077.0605716326,3724.20527565638,53209.6433117498
"1969","9",5564.03996470973,870.138385795614,35578.8702512876
"1969","10",116286.836349817,55829.5831841547,242212.596566313
"1970","1",208139.841898595,83177.5139471331,520840.209447798
"1970","2",80168.6257928006,33976.4427656367,189160.725442579
"1970","3",660648.05761228,347590.867615248,1255659.73301116
"1970","4",144643.797162268,76878.2984505555,272142.184194869
"1970","5",30810.5736959402,15873.772454713,59802.5109772262
"1970","6",7684.60319307685,3740.82089235248,15786.1410461462
"1970","7",9036.68908829716,3734.73477619487,21865.4749459211
"1970","8",19548.2891613444,6812.89004039829,56090.0890619972
"1970","9",10902.3498423625,2912.35224876923,40812.7938972673
"1970","10",75255.5414393372,39020.6954544476,145138.277300546
"1971","1",114314.867917514,45674.9614445802,286106.186271327
"1971","2",136362.231954545,62956.1416872843,295358.924566702
"1971","3",49951.4436667583,26172.0157302259,95336.4368305682
"1971","4",450541.077900471,263490.076136954,770379.157544482
"1971","5",77826.1967489195,43392.3810366669,139584.801656387
"1971","6",20410.6873600527,10698.254891621,38940.5714044164
"1971","7",5863.08943844837,2524.970213487,13614.345856291
"1971","8",6938.04867297557,2634.49811332054,18271.6089813048
"1971","9",14349.4041598655,4606.44004112874,44699.4637734851
"1971","10",64552.6266632163,34490.7228324995,120816.302672385
"1972","1",150486.475617186,60264.9488305842,375776.961287141
"1972","2",70060.1839345259,32018.2196129917,153301.133925259
"1972","3",80968.2460941299,44514.6175074735,147274.249283596
"1972","4",56645.9303197759,32073.5438665312,100043.869026312
"1972","5",233698.489989142,143227.925127376,381315.19516627
"1972","6",43139.3318821189,24062.5852335425,77340.0670448919
"1972","7",18099.8576304316,8366.9094581508,39154.8214882077
"1972","8",3493.89777984079,1369.89708341324,8911.12321048277
"1972","9",4484.22118373546,1500.97108114895,13396.8201501055
"1972","10",53014.2460943723,28557.2682339402,98416.6365609993
"1973","1",201889.913834609,81016.0311548989,503104.59210493
"1973","2",139125.555137248,65252.6994519491,296630.181660159
"1973","3",64717.598735552,36476.3047270111,114824.339182428
"1973","4",57984.6809289978,33934.0903960724,99080.9885632542
"1973","5",53936.0279533549,32117.1201015368,90577.7075338047
"1973","6",104213.551881428,65491.7764221371,165829.436748523
"1973","7",27227.4666637427,14193.5662775194,52230.350458108
"1973","8",11697.8829776434,5207.99470257031,26275.0778319924
"1973","9",2590.30190752443,909.474927034179,7377.5139618253
"1973","10",19768.1570761201,9877.63911674672,39562.0886294199
"1974","1",361033.536250342,144851.79472755,899852.256180817
"1974","2",142680.711398614,65931.0886482044,308773.688143384
"1974","3",106195.340662741,59984.3553779904,188006.527825647
"1974","4",48842.4877492236,28515.408983422,83659.6315669176
"1974","5",41228.9211587989,24575.6947672451,69166.8722295499
"1974","6",34835.0959396892,20471.6147214878,59276.413982803
"1974","7",45315.4477532948,26192.6260647494,78399.5388627801
"1974","8",13423.2728243991,6313.35944222575,28540.1544086215
"1974","9",6012.49136377598,2394.70172503408,15095.8476463144
"1974","10",9414.70077449441,4182.43203846686,21192.5955659418
"1975","1",553803.981561581,222236.862830364,1380053.90324271
"1975","2",290060.810564781,135466.284140949,621079.07040513
"1975","3",82306.5695080524,44313.9876062192,152872.078323936
"1975","4",54654.2495495162,30463.3613128349,98055.0689448138
"1975","5",26856.7389227874,14907.0519404284,48385.4506208981
"1975","6",26155.2083389828,14482.0597738155,47237.4050335354
"1975","7",16994.4020508017,8454.33208258615,34161.1493661541
"1975","8",18244.5296543205,9097.66965107347,36587.7059811798
"1975","9",5731.40688810968,2310.49620534561,14217.3031234896
"1975","10",5858.70812783046,2416.17180149427,14206.1342268289
"1976","1",246130.992750886,97215.9854780171,623153.335273605
"1976","2",477846.879973775,222205.26447971,1027597.79897799
"1976","3",213327.204141239,113801.647995141,399893.119550089
"1976","4",44283.9802533916,23592.7433559017,83121.7835713122
"1976","5",25461.026281094,13514.0808910189,47969.5115423928
"1976","6",13388.7420633364,6878.92008719895,26059.0923816861
"1976","7",14188.1658029622,6786.82103543559,29661.0221193825
"1976","8",8827.94010460088,3834.12107975704,20326.0473180881
"1976","9",8341.50937748904,3556.71390208316,19563.2206048354
"1976","10",5126.82388818676,2005.7717976497,13104.3437799263
"1977","1",82137.0005489367,31472.7267680753,214359.782324911
"1977","2",188387.881816245,84926.2409660718,417891.968507001
"1977","3",388466.396502949,214038.205461845,705043.012701243
"1977","4",127372.803485996,70817.6845161242,229092.933195073
"1977","5",25491.8444391872,13530.1548102502,48028.5807535192
"1977","6",13510.0947612076,6919.23093279433,26379.0386864711
"1977","7",8018.00468365805,3631.98559626165,17700.6206118586
"1977","8",8167.82669446333,3591.0340344344,18577.766813423
"1977","9",4732.92704415747,1824.72573289899,12276.1453962337
"1977","10",6466.31516830129,2698.11976714248,15497.174130297
"1978","1",115773.170205189,43784.8315054097,306120.327029318
"1978","2",48948.0590927655,21176.6386376675,113139.414141354
"1978","3",126468.573191586,64839.8513966789,246673.915201705
"1978","4",234915.815958965,127705.891445203,432129.167755317
"1978","5",87010.9764820477,46994.4961532984,161102.057646555
"1978","6",20616.9027669265,10534.2124383209,40350.114656379
"1978","7",9377.37226440055,4212.50023758943,20874.8025223778
"1978","8",5222.50738977174,2107.21417833386,12943.4320045179
"1978","9",5051.18186649722,1957.80082614812,13032.19301354
"1978","10",5784.458568464,2345.46741402876,14265.7965444948
"1979","1",158672.613125322,59490.7434601993,423208.665611349
"1979","2",86385.9177167057,36681.8062892159,203439.457722434
"1979","3",26667.2923392742,13161.0200042362,54034.1463259999
"1979","4",65758.3065066669,34364.3859171534,125832.450055984
"1979","5",123751.469281334,69140.7054765437,221496.527172178
"1979","6",58827.2952672218,31489.7422771691,109897.713293321
"1979","7",17282.3882428902,7909.62860202983,37761.6900117585
"1979","8",6568.9014281721,2589.76617343077,16661.9158191715
"1979","9",3481.46850709673,1209.2876850216,10022.9441811357
"1979","10",6076.83516748295,2406.94433286842,15342.2433366997
"1980","1",45675.4735240787,16957.0291329119,123031.508956933
"1980","2",107193.73987879,44752.0175570109,256759.326092137
"1980","3",53191.528681096,25049.5111540011,112949.857825067
"1980","4",20717.0113262653,9876.48908633307,43456.1871674132
"1980","5",38043.6371116589,18361.3077549042,78824.3595719385
"1980","6",63602.3629998503,31479.9558846055,128502.739774898
"1980","7",32987.3183826531,15127.0895708131,71934.734635146
"1980","8",10535.4632812232,4147.61733574341,26761.3855293398
"1980","9",4003.79076014062,1337.45841474501,11985.6739276964
"1980","10",5136.68872084238,1860.70016058002,14180.4529143504
"1981","1",198487.394422574,76406.6792599358,515625.677313276
