"","par","sd(par)","exp(par)","Low","High"
"logFpar_0",8.24,0.14,3786.1,2868.25,4997.65
"logSdLogFsta_0",-0.87,0.1,0.42,0.34,0.51
"logSdLogN_0",-0.37,0.13,0.69,0.54,0.9
"logSdLogN_1",-1.03,0.08,0.36,0.31,0.42
"logSdLogObs_0",0.76,0.1,2.15,1.75,2.64
"logSdLogObs_1",-0.04,0.09,0.96,0.8,1.16
"logSdLogObs_2",-0.48,0.06,0.62,0.55,0.69
"logSdLogObs_3",-0.31,0.12,0.73,0.58,0.94
"rec_loga_0",1.47,0.45,4.35,1.77,10.67
"rec_logb_0",-10.53,0.6,0,0,0
"logitSel_0",-3.09,0.33,0.05,0.02,0.09
"logitSel_1",-1.23,0.14,0.29,0.22,0.39
"logitSel_2",0.16,0.17,1.17,0.84,1.63
"logitSel_3",0.74,0.22,2.1,1.36,3.24
